,cv,type,ru,,
,çухăр,nonetype,вопить ,,
,анчах,conjunction,но ,,
,çапах,nonetype,но ,,
,çухрăм,nonetype,верстовой ,,
,Алемансем,nonetype,Алеманны ,,
,кай,nonetype,зад ,,
,кут,nonetype,зад ,,
,хыçал,nonetype,зад ,,
,Пушкин Александр Сергеевич,nonetype,Александр Сергеевич Пушкин ,,
,президент,noun,президент ,,
,Президент,nonetype,президент ,,
,раштав,proper,декабрь ,,
,декабрь,nonetype,декабрь ,,
,раштав raštav,nonetype,декабрь ,,
,раштав уйăхĕ,nonetype,декабрь ,,
,Раштав,nonetype,декабрь ,,
,сулхăн,nonetype,свежо ,,
,çупăрла,nonetype,обнимать ,,
,ытала,verb,обнимать ,,
,танзани,nonetype,танзания ,,
,инçе,nonetype,далёкий ,,
,инче,nonetype,далёкий ,,
,аякри,nonetype,далёкий ,,
,инçе,nonetype,далёкий ,,
,катари,nonetype,далёкий ,,
,аптăра,nonetype,болеть ,,
,йăшка,nonetype,болеть ,,
,сур,nonetype,болеть ,,
,чирле,nonetype,болеть ,,
,ырат,nonetype,болеть ,,
,çилĕ,nonetype,ярость ,,
,кĕçĕт,nonetype,чесаться ,,
,хыçалан,nonetype,чесаться ,,
,хыçкалан,nonetype,чесаться ,,
,словаки,nonetype,словакия ,,
,Словаки,nonetype,словакия ,,
,çĕмĕрттер,nonetype,грохотом ,,
,Кăнтăр Дакота,nonetype,Южная Дакота ,,
,сĕнк,nonetype,опускать голову ,,
,тĕрке,nonetype,сверток ,,
,ăратне,nonetype,родня ,,
,ратне,nonetype,родня ,,
,тăван,nonetype,родня ,,
,хурăнташ,nonetype,родня ,,
,çăвăр,nonetype,рой ,,
,пушар,noun,пожар ,,
,вут-кăвар,nonetype,пожар ,,
,хунав,noun,побег ,,
,патша,nonetype,царский ,,
,йĕпе,nonetype,мокрый ,,
,исленчĕк,nonetype,мокрый ,,
,йӗпе,nonetype,мокрый ,,
,нÿрĕ,nonetype,мокрый ,,
,сĕлкĕш,nonetype,мокрый ,,
,Кăнтăр Каролина,nonetype,Южная Каролина ,,
,пĕрре,Cardinal number,раз ,,
,пӗр,determiner,раз ,,
,пӗрре,determiner,раз ,,
,хут,nonetype,раз ,,
,Намдэмун хапхи,nonetype,Суннемун ,,
,выльăх,nonetype,скотина ,,
,чĕрчун,noun,скотина ,,
,чӗрчун,noun,скотина ,,
,Луизиана,nonetype,Луизиана ,,
,луизиана,nonetype,Луизиана ,,
,нĕрсĕрлет,nonetype,уродовать ,,
,каска,nonetype,колода ,,
,муклашка,nonetype,колода ,,
,тунката,nonetype,колода ,,
,мечĕк,nonetype,мячик ,,
,пÿске,nonetype,мячик ,,
,çĕрт,nonetype,позорить ,,
,мăшкăлла,nonetype,позорить ,,
,намăслантар,nonetype,позорить ,,
,вар,noun,ложбина ,,
,лапам,nonetype,ложбина ,,
,савăк,nonetype,веселый ,,
,савăнăçлă,nonetype,веселый ,,
,хаваслă,nonetype,веселый ,,
,мăй,nonetype,шея ,,
,мӑй,noun,шея ,,
,Мăй,nonetype,шея ,,
,Спартак,nonetype,Спартак ,,
,кăнтăр европа,nonetype,южная европа ,,
,Кăнтăр Европа,proper,южная европа ,,
,Тютчев Фёдор Иванович,nonetype,Фёдор Иванович Тютчев ,,
,Афин,proper,Афины ,,
,афин,nonetype,Афины ,,
,Сократ,nonetype,Сократ ,,
,сократ,nonetype,Сократ ,,
,Кейӳ вокзалĕ,nonetype,Киевский вокзал ,,
,имлĕ курăкĕ,nonetype,женьшень ,,
,Литва,nonetype,Литва ,,
,литва,nonetype,Литва ,,
,Халăхсен аслă хускалăвĕ,nonetype,Великое переселение народов ,,
,Вандалсем,nonetype,Вандалы ,,
,кĕпе,nonetype,сорочка ,,
,çăткăн,nonetype,алчный ,,
,сăхă,nonetype,алчный ,,
,çĕр,nonetype,почва ,,
,тăпра,nonetype,почва ,,
,ÿпкеле,nonetype,роптать ,,
,ÿпкелеш,nonetype,роптать ,,
,ÿт,nonetype,тело ,,
,ÿт-пÿ,nonetype,тело ,,
,кĕлетке,nonetype,тело ,,
,шăм-шак,nonetype,тело ,,
,кĕренлен,nonetype,розоветь ,,
,шупкалан,nonetype,розоветь ,,
,мăкăрăлчăк,nonetype,выпуклый ,,
