,tt,type,ru,,
,PCT протоколы,nonetype,протокол PCT ,,
,мәгълүматны таблицасыман чагылдыру,nonetype,режим таблицы ,,
,keçeräyü,nonetype,уменьшаться ,,
,кабык,noun,кора ,,
,Идарә аслыгы,nonetype,Панель управления ,,
,ишәк,noun,ишак ,,
,җитмеш,Number,семьдесят ,,
,citmeş,Number,семьдесят ,,
,җир,noun,земля ,,
,туфрак,noun,земля ,,
,-стан,nonetype,земля ,,
,ил,noun,земля ,,
,Cir,proper,земля ,,
,жир,nonetype,земля ,,
,Җир,proper,земля ,,
,утыз,determiner,тридцать ,,
,utız,numeral,тридцать ,,
,suomiçä,nonetype,финский язык ,,
,Фин,nonetype,финский язык ,,
,фин теле,nonetype,финский язык ,,
,калын,adjective,полужирный ,,
,веб-күзәтүче,nonetype,веб-браузер ,,
,небраска,nonetype,небраска ,,
,йөкләп җибәрү,nonetype,отправить ,,
,җибәрү,nonetype,отправить ,,
,Qazan gubernası,nonetype,Казанская губерния ,,
,Словак,nonetype,словацкий ,,
,Словак,nonetype,словацкий ,,
,карарга,nonetype,просмотреть ,,
,карау,nonetype,просмотреть ,,
,күзәтү,nonetype,просмотреть ,,
,күрсәтелеш,nonetype,просмотреть ,,
,кертелгән видеоклип,nonetype,внедренный видеоклип ,,
,бастыру стиле,nonetype,стиль печати ,,
,Майкрософт Белем базасы,nonetype,база знаний ,,
,белем базасы,nonetype,база знаний ,,
,Praga,proper,Прага ,,
,Прага,proper,Прага ,,
,прага,nonetype,Прага ,,
,HDMI,nonetype,спецификация HDMI ,,
,HDMI спецификациясе,nonetype,спецификация HDMI ,,
,исраил,nonetype,израиль ,,
,İsrael,proper,израиль ,,
,Исраил,proper,израиль ,,
,файл тибы,nonetype,тип файла ,,
,ilachke,nonetype,чесать ,,
,konaqlota,nonetype,чесать ,,
,kati,nonetype,резать ,,
,lakashpe,nonetype,резать ,,
,latkusha,nonetype,резать ,,
,olashpe,nonetype,резать ,,
,Санкт-Петербург,proper,Петербург ,,
,açlıq,nonetype,массовый голод ,,
,Açlıq,nonetype,массовый голод ,,
,кинематограф,nonetype,кинематограф ,,
,Лишайниклар,nonetype,лишайники ,,
,лишайниклар,nonetype,лишайники ,,
,okeni,numeral,сто ,,
,Ulaanbaatar,nonetype,Улан-Батор ,,
,ulan bator,nonetype,Улан-Батор ,,
,авышлык,nonetype,склонение ,,
,Авышлык,nonetype,склонение ,,
,yoğırt,noun,йогурт ,,
,йогырт,noun,йогурт ,,
,катык,nonetype,йогурт ,,
,Dmitri Mendeleyev,nonetype,Дмитрий Иванович Менделеев ,,
,теге,nonetype,то ,,
,ул,pronoun,то ,,
,шул,nonetype,то ,,
,tatarça,noun,татарский ,,
,татар теле,noun,татарский ,,
,татарча,noun,татарский ,,
,Tatarça,nonetype,татарский ,,
,tатар,nonetype,татарский ,,
,Татар,nonetype,татарский ,,
,татар,noun,татарский ,,
,tatar tele,nonetype,татарский ,,
,Татар,nonetype,татарский ,,
,пычрак,adjective,грязный ,,
,керле,adjective,грязный ,,
,искә төшерү,nonetype,напоминание ,,
,Саклы карау,nonetype,защищенный просмотр ,,
,көйләгеч,nonetype,счетчик ,,
,Сөйрәлүчеләр,nonetype,пресмыкающиеся ,,
,сөйрәлүчеләр,nonetype,пресмыкающиеся ,,
,Җәридә,nonetype,Газета ,,
,газета,noun,Газета ,,
,Газета,nonetype,Газета ,,
,Гәзит,nonetype,Газета ,,
,газет,nonetype,Газета ,,
,гәзит,noun,Газета ,,
,Италия,nonetype,Итальянский ,,
