,tt,type,ru,,
,Идарә аслыгы ,nonetype,Панель управления,,
,мәгълүматны таблицасыман чагылдыру ,nonetype,режим таблицы,,
,keçeräyü ,noun pf,сжаться,,
,keçeräyü ,verb impf,сжиматься,,
,keçeräyü ,verb impf,сократиться,,
,keçeräyü ,verb impf,сокращаться,,
,keçeräyü ,verb impf,уменьшаться,,
,keçeräyü ,verb pf,уменьшиться,,
,кабык ,noun feminine,кора,,
,кабык ,noun feminine,скорлупа,,
,ишәк ,noun masculine,осёл,,
,ишәк ,noun masculine,ишак,,
,ишәк ,nonetype,домашний осёл,,
,ишәк ,feminine,ослица,,
,сабый ,nonetype,cupilaş,,
,сабый ,nonetype,fitšor,,
,PCT протоколы ,nonetype,протокол PCT,,
,җитмеш ,numeral,семьдесят,,
,җитмеш ,determiner,семидесятый,,
,җитмеш ,determiner,семьдесять,,
,операцион система ,nonetype,Операчна сістема,,
,операцион система ,nonetype,операчна сістема,,
,төньяк боз океаны ,nonetype,северный ледовый океан,,
,туфрак ,noun feminine,почва,,
,туфрак ,noun feminine,земля,,
,туфрак ,noun masculine,грунт,,
,туфрак ,noun feminine,почва,,
,утыз ,determiner,тридцать,,
,утыз ,determiner,тридцатый,,
,suomiçä ,masculine,финский язык,,
,калын ,adjective masculine,толстый,,
,калын ,adjective,дебелый,,
,калын ,nonetype,басистый,,
,калын ,nonetype,полужирный,,
,исраил ,nonetype,ізраіль,,
,Räsäy ,nonetype,Rusii,,
,Räsäy ,nonetype,Arusia,,
,веб-күзәтүче ,noun masculine,веб-обозреватель,,
,веб-күзәтүче ,nonetype,веб-браузер,,
,небраска ,nonetype,небраска,,
,Qazan gubernası ,nonetype,Казанская губерния,,
,карау ,noun neuter,представление,,
,карау ,verb,просмотреть,,
,йөкләп җибәрү ,verb,отправить,,
,йөкләп җибәрү ,noun,передача,,
,Словак ,nonetype,Словацкий,,
,Словак ,proper masculine,словацкий,,
,Словак ,nonetype,словацкий язык,,
,таяк ,nonetype,virdzeao,,
,таяк ,nonetype,virdzeauã,,
,кертелгән видеоклип ,nonetype,внедренный видеоклип,,
,бастыру стиле ,nonetype,стиль печати,,
,бөтен ,nonetype,усё,,
,бөтен ,nonetype,ушытко,,
,бөтен ,nonetype,ушыткоє,,
,бөтен ,nonetype,ушыткі,,
,белем базасы ,nonetype,база знаний,,
,Praga ,proper feminine,Прага,,
,HDMI ,nonetype,спецификация HDMI,,
,файл тибы ,nonetype,тип файла,,
,Санкт-Петербург ,proper masculine,Петербург,,
,Санкт-Петербург ,proper masculine,Питер,,
,Санкт-Петербург ,proper masculine,Санкт-Петербург,,
,açlıq ,nonetype,массовый голод,,
,açlıq ,nonetype,Массовый голод,,
,тар ,nonetype,strimt,,
,исраил ,nonetype,израиль,,
,исраил ,proper masculine,Израиль,,
,без ,nonetype,noi,,
,кинематограф ,noun masculine,кинематограф,,
,лишайниклар ,noun,лишайники,,
,лишайниклар ,noun,лишайники,,
,Ulaanbaatar ,proper masculine,Улан-Батор,,
,авышлык ,noun neuter,склонение,,
,авышлык ,nonetype,Склонение,,
,гөл ,feminine,floare,,
,yoğırt ,noun masculine,йогурт,,
,Dmitri Mendeleyev ,nonetype,Дмитрий Иванович Менделеев,,
,ул ,pronoun,он,,
,ул ,pronoun,она,,
,ул ,pronoun,оно,,
,ул ,noun masculine,сын,,
,ул ,determiner feminine,та,,
,ул ,pronoun neuter,то,,
,ул ,pronoun masculine,тот,,
,ул ,determiner masculine,его,,
,ул ,determiner,их,,
,ул ,pronoun,они,,
,ул ,noun masculine,сынок,,
,ул ,determiner masculine,этот,,
,ул ,noun masculine,сын,,
,Татар ,nonetype,Татарский,,
,Татар ,noun masculine,татарский,,
,Татар ,noun masculine,татарский язык,,
,Татар ,noun masculine,татарин,,
,Татар ,noun feminine,татарка,,
,Татар ,adjective masculine,татарский,,
,керле ,adjective,грязный,,
,искә төшерү ,noun neuter,воспоминание,,
,искә төшерү ,noun neuter,напоминание,,
,теге ,nonetype,той,,
,теге ,nonetype,тота,,
,теге ,nonetype,тото,,
,Саклы карау ,nonetype,защищенный просмотр,,
,йөзәргә ,nonetype,anot,,
,йөзәргә ,nonetype,mplãtescu,,
,йөзәргә ,nonetype,not,,
,сөйрәлүчеләр ,noun,пресмыкающиеся,,
,сөйрәлүчеләр ,noun,пресмыкающиеся,,
,Италия ,nonetype,Итальянский,,
,Италия ,proper feminine,Италия,,
,Италия ,proper masculine,итальянский,,
,Италия ,proper masculine,итальянский,,
,Италия ,nonetype,италия,,
,көйләгеч ,noun masculine,регулятор,,
,көйләгеч ,nonetype,счетчик,,
,тын океан ,nonetype,тихый океан,,
,Litua ,proper feminine,Литва,,
,бизәлеш элементлары ,nonetype,элемент оформления,,
,Җәридә ,nonetype,Газета,,
,гайана ,nonetype,гайана,,
,гайана ,proper feminine,Гайана,,
,чәнчергә ,verb,кольнуть,,
,чәнчергә ,nonetype,пырнуть,,
,чәнчергә ,verb,уколоть,,
,дә ,conjunction,shi,,
,сәламәтлек ,noun neuter,здоровье,,
,сәламәтлек ,noun,здоровье,,
,-дә ,nonetype,la,,
,-дә ,nonetype,tru,,
,-дә ,nonetype,ãn,,
,bäräñge ,noun masculine,картофель,,
,bäräñge ,nonetype,земляное яблоко,,
,bäräñge ,noun feminine,картошка,,
,яшел ,adjective masculine,зелёный,,
,яшел ,adjective,зеленый,,
,яшел ,nonetype,зелёный цвет,,
,синтаксик хата ,nonetype,синтаксическая ошибка,,
,Akashi-Kaikyō küpere ,nonetype,Акаси-Кайкё,,
,atlan may ,noun neuter,сливочное масло,,
,номер җыючы ,nonetype,набиратель номера,,
,вакыт тәртибендә ,feminine,временная шкала,,
,тамыр папка ,nonetype,корневая папка,,
,биология ,noun feminine,биология,,
,сканерлау ,noun feminine,проверка,,
,сканерлау ,noun,сканирование,,
,ярашсыз ,adjective,несовместимый,,
,уйларга ,nonetype,misli,,
,уйларга ,nonetype,pensei,,
,Контактлар ,nonetype,Контакты,,
,тикшереп кайтару ,verb,вернуть,,
,башлау ,verb pf,запустить,,
,румыния ,nonetype,romãnia,,
,румыния ,nonetype,Romãnia,,
,җибәрү ,verb pf,отправить,,
,кабатланучы таблица ,nonetype,повторяющаяся таблица,,
,башкарылу датасы ,nonetype,дата выполнения,,
,кара ,nonetype,negru,,
,кайчан ,nonetype,кой,,
,тотарга ,nonetype,tsãn,,
,плюс тамгасы ,nonetype,знак "плюс",,
,Tallinn ,proper masculine,Таллин,,
,Tallinn ,proper masculine,Таллинн,,
,Tallinn ,proper feminine,Колывань,,
,Tallinn ,proper masculine,Ревель,,
,Tallinn ,nonetype,Талинн,,
,päräwez ,proper masculine,интернет,,
,päräwez ,noun masculine,Интернет,,
,фауна ,noun feminine,фауна,,
,фауна ,noun,фауна,,
,уңга тигезләнгән ,nonetype,выровненный по правому краю,,
,рамазан ,proper masculine,рамадан,,
,рамазан ,proper masculine,рамазан,,
,рамазан ,proper,Рамазан,,
,Zöyä yılğası ,nonetype,Свияга,,
,бәйләнешле стильләр таблицасы ,nonetype,связанная таблица стилей,,
,баш тарту ,verb pf,отменить,,
,баш тарту ,noun,откат,,
,баш тарту ,verb,отлынивать,,
,Грек ,proper masculine,греческий,,
,Грек ,nonetype,Греческий,,
,Грек ,nonetype,грчки,,
,Грек ,noun masculine,грек,,
,Грек ,adjective noun masculine,греческий,,
,HDMI спецификациясе ,nonetype,спецификация HDMI,,
,күп нокталы кертү ,nonetype,мультисенсорный ввод,,
,англия ,proper masculine,английский,,
,англия ,proper masculine,английский язык,,
,англия ,nonetype,англия,,
,англия ,proper masculine,английский,,
,англия ,proper feminine,Англия,,
,англия ,proper masculine,английский язык,,
,эшлисе эш ,noun neuter,дело,,
,эшлисе эш ,nonetype,элемент списка дел,,
,ürnäk ,noun masculine,пример,,
,Lwów yäş börketläre ,nonetype,Львовские орлята,,
,роттердам ,nonetype,роттердам,,
,Ğíraq ,proper masculine,Ирак,,
,киң ,nonetype,largu,,
,каплау ,noun neuter,перекрытие,,
,каплау ,verb,перекрыть,,
,фигыль ,nonetype,часослова,,
,фигыль ,nonetype,Часослова,,
,текст ,nonetype,отправить SMS,,
,текст ,noun masculine,текст,,
,сайлап урнаштыру ,nonetype,выборочная установка,,
,йөкләнмә ,verb pf,скачать,,
,damask ,nonetype,дамаск,,
,гамәлләр контроллеры ,nonetype,хозяин операций,,
,санак ,noun masculine,компьютер,,
,санак ,noun feminine,ЭВМ,,
,корыч ,noun feminine,сталь,,
,корыч ,noun,сталь,,
,Яңалык башламы ,nonetype,заголовок новостей,,
,бинар файл ,nonetype,двоичный файл,,
,һәммә ,pronoun masculine,весь,,
,һәммә ,pronoun p,все,,
,һәммә ,noun neuter,всё,,
,үлчәмен үзгәртү ,nonetype,изменить размер,,
,чалма чәчәк ,noun masculine,пион,,
,ябу ,noun,заключение,,
,ябу ,verb pf,закрыть,,
,план ,noun masculine,план,,
,план ,noun masculine,макет,,
,план ,noun feminine,структура,,
,Орфографияне контекст тикшерү ,nonetype,контекстная проверка орфографии,,
,сайланмалар ,nonetype,избранное,,
,макрос ,masculine,макрос,,
,селтеле металлар ,nonetype,щелочные металлы,,
,селтеле металлар ,nonetype,щелочные металлы,,
,чагылдыру ,nonetype,автоматически устанавливать,,
,кәшкә саклау ,noun masculine,кэш,,
,кәшкә саклау ,nonetype,помещать в кэш,,
,аз ,adverb,мало,,
,аз ,adjective,немногий,,
,аз ,numeral,немного,,
,аз ,pronoun adverb,несколько,,
,аз ,adverb,изредка,,
,аз ,adjective adverb,редко,,
,җимеш ,noun masculine,плод,,
,җимеш ,noun masculine,фрукт,,
,җимеш ,noun p,фрукты,,
,җимеш ,noun,плод,,
,алгебра ,nonetype,алґебра,,
,алгебра ,nonetype,Алґебра,,
,каралама ,noun masculine,черновик,,
,башлану датасы ,nonetype,дата начала,,
,тел коды ,nonetype,идентификатор языка,,
,чигенеш ясау ,noun,отступ,,
,чигенеш ясау ,nonetype,понизить уровень,,
,автосөзгеч ,nonetype,автофильтр,,
,зур ,adjective masculine,большой,,
,зур ,noun,великий,,
,зур ,adjective,широкий,,
,зур ,adjective adverb,широко,,
,икенчел ачкыч ,masculine,внешний ключ,,
,үрдүн ,nonetype,иордания,,
,үрдүн ,proper feminine,Иордания,,
,инвертлау ,verb,обратить,,
,шифрны ачу ,verb pf,расшифровать,,
